rank	support	file	pattern
1	172	001_ky_run_1_amb_run_1_ru_run_2_semi.txt	KY_RUN_1 AMB_RUN_1 RU_RUN_2 SEMI
2	104	002_ky_run_1_amb_run_1_ru_run_2_dot.txt	KY_RUN_1 AMB_RUN_1 RU_RUN_2 DOT
3	92	003_ky_run_2_ru_run_1_amb_run_1_semi.txt	KY_RUN_2 RU_RUN_1 AMB_RUN_1 SEMI
4	87	004_amb_run_1_ky_run_1_ru_run_2_semi.txt	AMB_RUN_1 KY_RUN_1 RU_RUN_2 SEMI
5	86	005_ky_run_2_ru_run_1_amb_run_1_dot.txt	KY_RUN_2 RU_RUN_1 AMB_RUN_1 DOT
6	73	006_ky_run_2_ru_run_2_semi.txt	KY_RUN_2 RU_RUN_2 SEMI
7	60	007_amb_run_1_ky_run_1_ru_run_1_semi.txt	AMB_RUN_1 KY_RUN_1 RU_RUN_1 SEMI
8	49	008_amb_run_1_ky_run_1_ru_run_2_dot.txt	AMB_RUN_1 KY_RUN_1 RU_RUN_2 DOT
9	45	009_ky_run_1_amb_run_1_ru_run_1_semi.txt	KY_RUN_1 AMB_RUN_1 RU_RUN_1 SEMI
10	43	010_amb_run_1_ky_run_1_ru_run_1_dot.txt	AMB_RUN_1 KY_RUN_1 RU_RUN_1 DOT
11	39	011_ky_run_2_ru_run_2_dot.txt	KY_RUN_2 RU_RUN_2 DOT
12	31	012_ky_run_1_amb_run_2_ru_run_1_semi.txt	KY_RUN_1 AMB_RUN_2 RU_RUN_1 SEMI
13	26	013_ru_run_1_amb_run_1_ru_run_2_semi.txt	RU_RUN_1 AMB_RUN_1 RU_RUN_2 SEMI
14	23	014_amb_run_1_ky_run_1_ru_run_1_comma_ru_run_1_semi.txt	AMB_RUN_1 KY_RUN_1 RU_RUN_1 COMMA RU_RUN_1 SEMI
15	22	015_ru_run_1_ky_run_1_ru_run_2_dot.txt	RU_RUN_1 KY_RUN_1 RU_RUN_2 DOT
16	22	016_ru_run_1_amb_run_1_ru_run_2_dot.txt	RU_RUN_1 AMB_RUN_1 RU_RUN_2 DOT
17	21	017_ky_run_1_ru_run_34_semi.txt	KY_RUN_1 RU_RUN_34 SEMI
